Application Name,Respondent Role,Rating,Comment,Date,Sentiment
Incident Reporting System,IT Staff,1,Data integrity issues - can't trust the information,2025-06-05,Negative
Facility Management System,Executive,5,Great application - modern interface and reliable performance,2025-11-10,Positive
Backup System,Director,1,Missing basic features we desperately need,2025-08-26,Negative
IT Identity Management Plus,Business Analyst,3,"It works fine, does what it needs to do",2025-09-05,Neutral
VPN,Executive,2,Horrible experience every time I have to use it,2025-06-29,Negative
Human Resources HR Management,IT Staff,4,Great application - modern interface and reliable performance,2025-10-29,Positive
Document Management Platform,Executive,2,"Performance is terrible, constantly laggy",2025-08-29,Negative
Operations Inventory Enterprise,Team Lead,4,Outstanding tool that delivers real value,2025-06-23,Positive
Public Safety Investigation Management,IT Staff,1,Waste of money - should retire this immediately,2025-10-09,Negative
Integrated 311 System,IT Staff,4,Outstanding tool that delivers real value,2025-08-23,Positive
Benefits Administration System Pro,Director,2,Functionality is bare-bones and inadequate,2025-07-19,Negative
Citizen Services Case Management Pro,Administrator,3,"It works fine, does what it needs to do",2025-07-16,Neutral
Revenue Collection Classic,Team Lead,1,Way too complicated for what it should do,2025-09-15,Negative
Benefits Administration Classic,Support Staff,1,Outdated - doesn't integrate with anything modern,2025-09-02,Negative
Integrated Case Management v1,Director,2,"Loading times are ridiculous, kills productivity",2025-11-01,Negative
Integrated Accounts Payable,End User,2,System is painfully slow and frequently times out,2025-08-23,Negative
VPN Tool,Supervisor,5,Love this system! It's intuitive and fast,2025-08-15,Positive
Backup System,IT Staff,3,Does the basic functions we need,2025-08-07,Neutral
Public Safety Emergency Dispatch,IT Staff,2,Outdated - doesn't integrate with anything modern,2025-08-28,Negative
Facility Management Tool,Team Lead,3,Adequate for our needs but could be better,2025-07-09,Neutral
Investigation Management,End User,3,"It works fine, does what it needs to do",2025-09-30,Neutral
Accounts Payable Tool Classic,Business Analyst,2,"Can't do half of what we need, very limited",2025-10-05,Negative
Revenue Collection,Business Analyst,4,"Fantastic system, makes my job much easier",2025-08-20,Positive
Human Resources HR Management Classic,Business Analyst,1,Functionality is bare-bones and inadequate,2025-05-29,Negative
Finance Grant Management,Executive,3,It works but feels dated,2025-10-06,Neutral
Accounts Payable Tool,Business Analyst,5,Love this system! It's intuitive and fast,2025-10-28,Positive
Benefits Administration Platform,Support Staff,1,"Can't do half of what we need, very limited",2025-06-20,Negative
Human Resources Benefits Administration Enterprise,IT Staff,3,Does the basic functions we need,2025-09-22,Neutral
Integrated Network Monitoring Pro,IT Staff,5,Outstanding tool that delivers real value,2025-06-07,Positive
Audit Management Platform,IT Staff,4,This application works great and has everything we need,2025-08-09,Positive
Complaint Tracking (New),Director,4,Great application - modern interface and reliable performance,2025-11-03,Positive
Asset Management System (Old),IT Staff,3,Serviceable but not ideal,2025-07-17,Neutral
Integrated License Management,End User,3,"It works fine, does what it needs to do",2025-07-24,Neutral
Finance Budget Management Enterprise,Business Analyst,3,"Acceptable for now, considering alternatives",2025-06-19,Neutral
Grant Management,Business Analyst,3,"Gets the job done, nothing special",2025-06-09,Neutral
Document Management System Enterprise,Team Lead,4,Best application we have - couldn't do without it,2025-09-10,Positive
311 System Platform,Support Staff,3,"Gets the job done, nothing special",2025-11-09,Neutral
Finance Grant Management,Supervisor,2,Worst application in our portfolio,2025-05-25,Negative
Integrated Email System,IT Staff,1,"Loading times are ridiculous, kills productivity",2025-07-07,Negative
Backup System System,Director,3,Adequate for our needs but could be better,2025-05-25,Neutral
Budget Management,Department Manager,3,"Basic functionality works, missing some features",2025-09-01,Neutral
Digital Signatures Platform,End User,2,Way too complicated for what it should do,2025-08-15,Negative
Backup System,End User,3,"Basic functionality works, missing some features",2025-10-02,Neutral
311 System Tool,Supervisor,1,Interface is confusing and not intuitive at all,2025-06-01,Negative
Fleet Management Plus,Supervisor,1,"Constantly broken, always reporting issues",2025-07-27,Negative
Integrated Grant Management,Supervisor,3,"Acceptable for now, considering alternatives",2025-07-21,Neutral
Reporting Dashboard,Director,5,"Works perfectly, no complaints whatsoever",2025-07-25,Positive
Email System System,Team Lead,3,Could use some improvements but manageable,2025-07-23,Neutral
Procurement,Supervisor,2,"Freezes constantly, have to restart multiple times daily",2025-06-26,Negative
Integrated 311 System,Team Lead,5,Great application - modern interface and reliable performance,2025-07-31,Positive
IT Identity Management,Administrator,3,It works but feels dated,2025-10-21,Neutral
Email Archive (New),Director,5,Very reliable and easy to use - saves us a lot of time,2025-10-15,Positive
Integrated Training,Executive,4,Excellent tool that has significantly improved our workflow,2025-09-30,Positive
Investigation Management System,Support Staff,2,Missing critical features that competitors have,2025-06-28,Negative
Procurement Tool Pro,IT Staff,2,"Unnecessarily complex, needs complete redesign",2025-05-27,Negative
Integrated Payroll,Executive,3,Functional but a bit outdated,2025-08-16,Neutral
Finance Budget Management,End User,2,"Can't do half of what we need, very limited",2025-09-11,Negative
Integrated Procurement,Administrator,2,Clunky interface makes simple tasks take forever,2025-09-25,Negative
Help Desk System,End User,5,Best application we have - couldn't do without it,2025-08-12,Positive
Financial System (Old),End User,2,Not worth the cost - should find cheaper alternative,2025-08-10,Negative
Case Management Platform v1,IT Staff,4,Very reliable and easy to use - saves us a lot of time,2025-08-21,Positive
Email Archive Tool,IT Staff,4,Love this system! It's intuitive and fast,2025-09-16,Positive
Content Management Platform Pro,End User,5,Very reliable and easy to use - saves us a lot of time,2025-06-03,Positive
Public Portal System,Team Lead,3,Not great but not terrible either,2025-08-23,Neutral
Document Management Platform,Business Analyst,1,"Nightmare to use, causes daily frustration",2025-10-16,Negative
VPN,Business Analyst,4,Solid application that just works,2025-07-15,Positive
Integrated Time & Attendance,Administrator,5,Appreciate how reliable and fast this is,2025-05-23,Positive
Public Safety Investigation Management v1,Team Lead,3,Adequate for our needs but could be better,2025-10-16,Neutral
Operations Inventory,Administrator,3,Could use some improvements but manageable,2025-11-10,Neutral
Integrated License Management,Director,1,"Terrible application, looking for replacement ASAP",2025-08-02,Negative
Work Order Tool,IT Staff,3,Not great but not terrible either,2025-05-27,Neutral
Finance Budget Management,IT Staff,1,"Constantly broken, always reporting issues",2025-06-07,Negative
Finance Payroll v2,Director,4,"Really helpful tool, very user-friendly",2025-09-21,Positive
Case Management Tool,IT Staff,3,"Acceptable for now, considering alternatives",2025-10-19,Neutral
Backup System Tool,IT Staff,5,Very reliable and easy to use - saves us a lot of time,2025-11-15,Positive
Data Warehouse v1,Director,1,"Absolutely hate this system, it's awful",2025-11-02,Negative
Benefits Administration,Department Manager,5,"Fantastic system, makes my job much easier",2025-09-03,Positive
Integrated Grant Management,Administrator,4,Appreciate how reliable and fast this is,2025-07-26,Positive
