Project ID,Project Name,Corridor,Area,District,Project Type,Current Phase,Project Manager,Department,External Partners,Planned Start,Planned End,Actual Start,Actual End,Percent Complete,Total Budget,Spent to Date,Forecast at Completion,Strategic Alignment,Safety Benefit,Congestion Relief,Economic Development,Resilience Benefit,ROW Readiness,Utility Readiness,Permit Readiness,Design Completeness,Funding Certainty,Overall Risk Rating,Public Sentiment,TIP ID,LRTP Reference,Notes
CP-2024-001,SR 200 Widening Phase 2,SR 200,Ocala West,1,Road Widening,Active Construction,John Smith,County Engineer,"FDOT, MPO",2023-06-01,2025-12-31,2023-07-15,,65,28500000,18200000,29100000,9,8,9,8,6,10,9,10,100,9,4,Positive,TIP-2024-015,LRTP-2040-012,Major corridor improvement project
CP-2024-002,NW 27th Ave Resurfacing,NW 27th Ave,Silver Springs,2,Resurfacing,Procurement/Letting,Maria Garcia,County Engineer,,2024-01-15,2024-08-30,,,0,3200000,150000,3200000,7,6,5,5,4,10,10,10,100,10,2,Neutral,TIP-2024-022,,Routine resurfacing project
CP-2024-003,CR 484 Safety Improvements,CR 484,Dunnellon,3,Safety Improvement,Design,Robert Johnson,County Engineer,FDOT,2024-03-01,2025-06-30,2024-03-15,,35,4800000,980000,5100000,8,10,6,5,5,7,8,6,65,8,5,Positive,TIP-2024-018,LRTP-2040-008,High crash corridor - safety priority
CP-2024-004,US 441 & SE 58th Ave Intersection,US 441,Belleview,4,Intersection Improvement,Permitting/Utility Coordination,Sarah Williams,County Engineer,"FDOT, City of Belleview",2024-02-01,2025-03-31,2024-02-15,,45,6200000,1850000,6500000,8,9,8,7,4,8,5,4,80,7,6,Mixed,TIP-2024-019,LRTP-2040-015,Utility conflicts causing delays
CP-2024-005,SW 80th Street Bridge Replacement,SW 80th St,Dunnellon,3,Bridge,Feasibility/Planning,Michael Brown,County Engineer,FDOT,2024-06-01,2027-12-31,,,5,12500000,425000,12500000,7,7,5,6,8,3,4,3,25,6,7,Neutral,TIP-2025-003,LRTP-2040-022,Bridge rated structurally deficient
CP-2024-006,NE 25th Ave Stormwater Retrofit,NE 25th Ave,Silver Springs Shores,2,Stormwater,Right-of-Way Acquisition,Jennifer Davis,County Engineer,,2024-04-01,2025-09-30,2024-04-15,,20,2800000,320000,2950000,6,3,2,4,10,4,8,7,45,7,5,Negative,,,ROW acquisition challenges - property owner disputes
CP-2024-007,SE 36th Ave Extension,SE 36th Ave,Ocala,1,New Road Construction,Design,David Wilson,County Engineer,"City of Ocala, MPO",2024-01-01,2026-06-30,2024-02-01,,30,18200000,2100000,18200000,9,6,8,9,5,6,7,5,55,8,4,Positive,TIP-2024-012,LRTP-2040-005,Economic development priority corridor
CP-2024-008,CR 25A Sidewalk Project,CR 25A,Salt Springs,5,Sidewalk/Trail,Substantial Completion,Lisa Anderson,County Engineer,,2023-09-01,2024-06-30,2023-09-15,,95,1200000,1150000,1210000,5,8,2,3,3,10,10,10,100,10,2,Positive,,,Near complete - final inspections
CP-2024-009,US 27 Signal Modernization,US 27,Ocala,1,Traffic Signals,Active Construction,Thomas Martinez,County Engineer,FDOT,2024-01-01,2024-10-31,2024-01-15,,70,2400000,1750000,2450000,7,8,7,5,3,10,10,10,100,9,3,Neutral,TIP-2024-025,,Signal timing and equipment upgrades
CP-2024-010,SW 95th St Road Diet,SW 95th St,Dunnellon,3,Safety Improvement,Concept/Idea,Kevin Taylor,County Engineer,,2025-01-01,2026-12-31,,,0,3500000,50000,3500000,6,9,4,4,4,2,3,2,10,5,6,Mixed,,,Early concept - community engagement needed
