Application Name,Owner,Category,Business Value,Tech Health,Cost,Usage,Security,Strategic Fit,Redundancy,Vendor,Last Updated,Dependencies,Composite Score,Action Recommendation,Comments
Email Archive Platform,Transportation,Records Management,6,2,5282.86,170,3,3,1,Microsoft,15y 0m ago,"Records Management Email Archive, Benefits Administration",,,Legacy application with outdated technology | Significant technical debt and stability issues | Overlaps with 1 other system(s)
Integrated Training,Finance,Human Resources,8,6,132617.59,343,6,7,0,Workday,5y 3m ago,"Human Resources HR Management Classic, Finance Budget Management Enterprise",,,Standard human resources application
Facility Management (New),Transportation,Operations,4,7,63634.55,112,9,1,2,Custom Built,1y 3m ago,,,,Overlaps with 2 other system(s)
Accounts Payable Tool Classic,Economic Development,Finance & Accounting,9,3,289857.62,350,5,4,2,SAP,16y 11m ago,,,,Critical legacy system requiring modernization | Significant technical debt and stability issues | Overlaps with 2 other system(s) | Mission-critical application
Records Archive Tool,City Manager Office,Records Management,1,6,26128.8,486,7,2,0,Workday,4y 1m ago,,,,"Limited business value, consider retirement"
Document Management Platform,Human Resources,Records Management,5,2,122972.43,155,5,2,2,Microsoft,12y 11m ago,,,,Legacy application with outdated technology | Significant technical debt and stability issues | Overlaps with 2 other system(s)
Case Management System v2,Legal Department,Citizen Services,10,6,219624.33,179,9,9,1,Salesforce,1y 5m ago,Benefits Administration Platform,,,Overlaps with 1 other system(s) | Mission-critical application
IT Identity Management,Police Department,IT & Infrastructure,6,7,76284.02,431,9,6,2,Open Source,8m ago,,,,Overlaps with 2 other system(s)
Service Request System v1,Public Health,Citizen Services,6,3,39762.87,208,3,3,0,Infor,9y 1m ago,Service Request System,,,Legacy application with outdated technology | Significant technical debt and stability issues
Identity Management Platform Pro,Human Resources,IT & Infrastructure,7,4,8005.31,23,5,3,3,Custom Built,10y 9m ago,,,,Critical legacy system requiring modernization | Overlaps with 3 other system(s)
Incident Reporting,Public Health,Public Safety,10,6,10273.22,22,8,8,2,Salesforce,1y 3m ago,Grant Management Platform,,,Overlaps with 2 other system(s) | Mission-critical application
Public Portal Tool,Transportation,Citizen Services,9,6,13477.78,44,6,7,0,Salesforce,5y 2m ago,,,,Mission-critical application
Incident Reporting System Pro,City Manager Office,Public Safety,9,4,137430.95,433,7,4,0,Infor,4y 2m ago,,,,Mission-critical application
Public Safety Investigation Management v1,Fire Department,Public Safety,9,6,148512.46,484,7,10,0,Infor,2y 3m ago,,,,Mission-critical application
Service Request Tool,Legal Department,Citizen Services,8,4,304616.58,485,7,5,0,Open Source,3y 0m ago,,,,Standard citizen services application
Document Management Platform Enterprise,City Manager Office,Records Management,7,8,45292.49,92,7,8,0,SAP,1y 6m ago,,,,Modern platform with good maintainability
Integrated Case Management v1,City Manager Office,Citizen Services,5,2,38278.07,108,6,4,0,Infor,18y 8m ago,,,,Legacy application with outdated technology | Significant technical debt and stability issues
Analytics Platform,Police Department,Compliance & Reporting,5,6,14172.18,385,5,7,3,ServiceNow,3y 9m ago,,,,Overlaps with 3 other system(s)
Investigation Management System,Public Works,Public Safety,8,4,140506.63,190,3,2,0,Custom Built,11y 1m ago,,,,Critical legacy system requiring modernization
Records Management Document Management,Public Works,Records Management,7,3,9568.22,221,4,2,3,Workday,8y 4m ago,,,,Critical legacy system requiring modernization | Significant technical debt and stability issues | Overlaps with 3 other system(s)
Identity Management,Public Works,IT & Infrastructure,7,3,179845.93,120,3,2,2,Custom Built,6y 6m ago,,,,Critical legacy system requiring modernization | Significant technical debt and stability issues | Overlaps with 2 other system(s)
Performance Management Tool Plus,Public Health,Human Resources,8,6,166650.34,949,7,5,0,Infor,3y 2m ago,"Accounts Payable Tool Classic, Asset Management System (Old)",,,Standard human resources application
Document Management System Enterprise,Water & Utilities,Records Management,3,8,50382.86,61,8,4,0,Oracle,1y 4m ago,,,,"Modern platform with good maintainability | Limited business value, consider retirement"
Asset Management System (Old),IT Department,Finance & Accounting,8,4,173931.33,62,6,6,1,Custom Built,4y 6m ago,,,,Overlaps with 1 other system(s)
Asset Inventory Tool v1,Public Works,IT & Infrastructure,6,4,29520.05,457,6,6,2,Custom Built,3y 3m ago,,,,Overlaps with 2 other system(s)
GIS Mapping Platform,Parks & Recreation,Operations,4,6,139759.57,309,7,1,0,SAP,5y 3m ago,,,,Standard operations application
Fleet Management,Economic Development,Operations,6,4,70584.78,156,4,2,0,Workday,11y 9m ago,,,,Legacy application with outdated technology
Training Platform Pro,Legal Department,Human Resources,4,5,99266.34,376,7,3,0,Microsoft,4y 8m ago,Budget Management Tool (New),,,Standard human resources application
Document Management,Human Resources,Records Management,5,8,33450.54,57,10,5,0,Open Source,7m ago,,,,Modern platform with good maintainability
Service Request,Human Resources,Citizen Services,6,5,104184.78,49,6,6,1,ServiceNow,3y 10m ago,,,,Overlaps with 1 other system(s)
Backup System Platform,Legal Department,IT & Infrastructure,7,6,36074.7,194,10,10,0,Salesforce,1y 2m ago,"Finance Budget Management Enterprise, Integrated Case Management v1",,,Standard it & infrastructure application
